place,sector,employment,proportion
Squamish,336 Transportation equipment manufacturing,45,0.003826531
"Sorel-Tracy, QC",326 Plastics and rubber products manufacturing,70,0.003820961
"Sorel-Tracy, QC",327 Non-metallic mineral product manufacturing,70,0.003820961
Gander,211 Oil and gas extraction,25,0.003813883
Gander,212 Mining and quarrying (except oil and gas),25,0.003813883
Oshawa,331 Primary metal manufacturing,755,0.003813709
Collingwood,212 Mining and quarrying (except oil and gas),40,0.00379867
Cape Breton,212 Mining and quarrying (except oil and gas),160,0.003766478
Kenora,212 Mining and quarrying (except oil and gas),30,0.003747658
"Guelph, ON",327 Non-metallic mineral product manufacturing,320,0.003715745
QuÃ©bec,326 Plastics and rubber products manufacturing,1595,0.00369928
Vancouver,336 Transportation equipment manufacturing,4915,0.00369392
Prince George,211 Oil and gas extraction,175,0.003689259
Penticton,331 Primary metal manufacturing,75,0.003663898
Joliette,325 Chemical manufacturing,80,0.003657979
Granby,327 Non-metallic mineral product manufacturing,155,0.003652645
Drummondville,324 Petroleum and coal products manufacturing,175,0.00364204
Port Alberni,211 Oil and gas extraction,40,0.003636364
Matane,212 Mining and quarrying (except oil and gas),30,0.003629764
Matane,331 Primary metal manufacturing,30,0.003629764
"Ingersoll, ON",325 Chemical manufacturing,25,0.003625816
Saint John,211 Oil and gas extraction,230,0.003619767
Saint-Georges,327 Non-metallic mineral product manufacturing,60,0.003612282
Lethbridge,327 Non-metallic mineral product manufacturing,225,0.003602882
Campbellton,331 Primary metal manufacturing,25,0.003597122
"Hawkesbury, ON",213 Support activities for mining and oil and gas extraction,15,0.003597122
"Grande Prairie, AB",325 Chemical manufacturing,135,0.003594728
"Norfolk, ON",325 Chemical manufacturing,110,0.003564485
Truro,327 Non-metallic mineral product manufacturing,80,0.003548459
Truro,336 Transportation equipment manufacturing,80,0.003548459
"Brockville, ON",327 Non-metallic mineral product manufacturing,65,0.003546099
Terrace,327 Non-metallic mineral product manufacturing,30,0.003537736
Kawartha Lakes,327 Non-metallic mineral product manufacturing,125,0.003525099
Thetford Mines,325 Chemical manufacturing,45,0.003521127
"Okotoks, AB",327 Non-metallic mineral product manufacturing,55,0.003513255
"Weyburn, SK",324 Petroleum and coal products manufacturing,20,0.003484321
"Tillsonburg, ON",325 Chemical manufacturing,25,0.003462604
"Tillsonburg, ON",331 Primary metal manufacturing,25,0.003462604
Orillia,327 Non-metallic mineral product manufacturing,50,0.003449465
Orillia,331 Primary metal manufacturing,50,0.003449465
Lethbridge,331 Primary metal manufacturing,215,0.003442754
Nanaimo,213 Support activities for mining and oil and gas extraction,175,0.003424658
Penticton,212 Mining and quarrying (except oil and gas),70,0.003419638
Squamish,212 Mining and quarrying (except oil and gas),40,0.003401361
Strathmore,324 Petroleum and coal products manufacturing,25,0.00338295
Strathmore,327 Non-metallic mineral product manufacturing,25,0.00338295
Powell River,211 Oil and gas extraction,25,0.003380663
Campbellton (New Brunswick part),331 Primary metal manufacturing,20,0.003344482
"Baie-Comeau, QC",212 Mining and quarrying (except oil and gas),45,0.00331004
Kingston,331 Primary metal manufacturing,270,0.003309635
"Woodstock, ON",325 Chemical manufacturing,70,0.003301108
"Sudbury, ON",327 Non-metallic mineral product manufacturing,275,0.003296572
"Calgary, AB",324 Petroleum and coal products manufacturing,2625,0.003280696
Campbell River,336 Transportation equipment manufacturing,60,0.003259984
Winnipeg,325 Chemical manufacturing,1355,0.003254083
Sherbrooke,331 Primary metal manufacturing,340,0.003233937
Chilliwack,213 Support activities for mining and oil and gas extraction,155,0.003228158
"London, ON",325 Chemical manufacturing,815,0.003227595
"Grande Prairie, AB",324 Petroleum and coal products manufacturing,120,0.003195314
"Okotoks, AB",324 Petroleum and coal products manufacturing,50,0.003193868
"Kitchener - Cambridge - Waterloo, ON",331 Primary metal manufacturing,910,0.00319259
"Sarnia, ON",327 Non-metallic mineral product manufacturing,145,0.003179476
"Sarnia, ON",331 Primary metal manufacturing,145,0.003179476
Vancouver,325 Chemical manufacturing,4230,0.003179101
"Chatham-Kent, ON",327 Non-metallic mineral product manufacturing,155,0.003175254
Winnipeg,331 Primary metal manufacturing,1320,0.003170029
"Wetaskiwin, AB",327 Non-metallic mineral product manufacturing,20,0.003164557
"Red Deer, AB",324 Petroleum and coal products manufacturing,180,0.003161778
Saint John,327 Non-metallic mineral product manufacturing,200,0.003147624
"Kitchener - Cambridge - Waterloo, ON",327 Non-metallic mineral product manufacturing,895,0.003139965
"Calgary, AB",327 Non-metallic mineral product manufacturing,2510,0.003136971
Grand Falls-Windsor,211 Oil and gas extraction,20,0.003108003
Grand Falls-Windsor,327 Non-metallic mineral product manufacturing,20,0.003108003
Truro,212 Mining and quarrying (except oil and gas),70,0.003104901
Nelson,331 Primary metal manufacturing,30,0.003080082
Steinbach,331 Primary metal manufacturing,25,0.003076923
Miramichi,211 Oil and gas extraction,40,0.003047619
Peterborough,212 Mining and quarrying (except oil and gas),180,0.003037975
Nanaimo,211 Oil and gas extraction,155,0.003033268
Kelowna,325 Chemical manufacturing,310,0.003030451
Port Hope,327 Non-metallic mineral product manufacturing,25,0.003024803
Shawinigan,327 Non-metallic mineral product manufacturing,70,0.003019193
"Summerside, PEI",213 Support activities for mining and oil and gas extraction,25,0.002997602
Yorkton,325 Chemical manufacturing,30,0.002991027
Cobourg,212 Mining and quarrying (except oil and gas),25,0.002981515
Cobourg,327 Non-metallic mineral product manufacturing,25,0.002981515
Squamish,213 Support activities for mining and oil and gas extraction,35,0.00297619
Squamish,327 Non-metallic mineral product manufacturing,35,0.00297619
Rimouski,212 Mining and quarrying (except oil and gas),80,0.002967359
"Lacombe, AB",327 Non-metallic mineral product manufacturing,20,0.002965159
"Lacombe, AB",331 Primary metal manufacturing,20,0.002965159
Edmonton,327 Non-metallic mineral product manufacturing,2205,0.002958322
Duncan,336 Transportation equipment manufacturing,60,0.002955665
"Wasaga Beach, ON",212 Mining and quarrying (except oil and gas),25,0.002946376
"Elliot Lake, ON",326 Plastics and rubber products manufacturing,10,0.002936858
"Elliot Lake, ON",331 Primary metal manufacturing,10,0.002936858
"Elliot Lake, ON",336 Transportation equipment manufacturing,10,0.002936858
St. Catharines - Niagara,327 Non-metallic mineral product manufacturing,585,0.002932184
"Stratford, ON",325 Chemical manufacturing,50,0.002929115
"Stratford, ON",331 Primary metal manufacturing,50,0.002929115
High River,325 Chemical manufacturing,20,0.002923977
Regina,325 Chemical manufacturing,385,0.002919431
"Sylvan Lake, AB",212 Mining and quarrying (except oil and gas),25,0.002917153
"Sylvan Lake, AB",327 Non-metallic mineral product manufacturing,25,0.002917153
Saint John,326 Plastics and rubber products manufacturing,185,0.002911552
Trois-RiviÃ¨res,326 Plastics and rubber products manufacturing,215,0.002903248
"Red Deer, AB",326 Plastics and rubber products manufacturing,165,0.002898296
"Medicine Hat, AB",324 Petroleum and coal products manufacturing,115,0.002897455
"Lloydminster, SK",326 Plastics and rubber products manufacturing,25,0.002895194
Kelowna,212 Mining and quarrying (except oil and gas),295,0.002883816
Parksville,212 Mining and quarrying (except oil and gas),30,0.002877698
Dolbeau-Mistassini,213 Support activities for mining and oil and gas extraction,20,0.002873563
Abbotsford - Mission,325 Chemical manufacturing,265,0.0028675
QuÃ©bec,327 Non-metallic mineral product manufacturing,1235,0.002864333
"Val-d'Or, QC",325 Chemical manufacturing,50,0.002854696
Bathurst,325 Chemical manufacturing,40,0.00284495
Saskatoon,336 Transportation equipment manufacturing,465,0.00283649
Trois-RiviÃ¨res,327 Non-metallic mineral product manufacturing,210,0.00283573
Kawartha Lakes,325 Chemical manufacturing,100,0.002820079
Kingston,327 Non-metallic mineral product manufacturing,230,0.002819318
New Glasgow,211 Oil and gas extraction,45,0.002817783
"London, ON",327 Non-metallic mineral product manufacturing,705,0.002791969
Belleville,327 Non-metallic mineral product manufacturing,140,0.0027894
"Calgary, AB",325 Chemical manufacturing,2225,0.002780781
"Tillsonburg, ON",212 Mining and quarrying (except oil and gas),20,0.002770083
Pembroke,212 Mining and quarrying (except oil and gas),30,0.002757353
St. Catharines - Niagara,326 Plastics and rubber products manufacturing,550,0.002756754
"Norfolk, ON",326 Plastics and rubber products manufacturing,85,0.002754375
"Timmins, ON",336 Transportation equipment manufacturing,60,0.00273224
Saint-Hyacinthe,331 Primary metal manufacturing,80,0.002728048
Edmonton,331 Primary metal manufacturing,2020,0.002710118
Kamloops,336 Transportation equipment manufacturing,145,0.002707497
Strathmore,326 Plastics and rubber products manufacturing,20,0.00270636
Strathmore,331 Primary metal manufacturing,20,0.00270636
Strathmore,336 Transportation equipment manufacturing,20,0.00270636
Powell River,327 Non-metallic mineral product manufacturing,20,0.00270453
Oshawa,327 Non-metallic mineral product manufacturing,535,0.00270243
"Lloydminster, AB",327 Non-metallic mineral product manufacturing,30,0.002699055
Charlottetown,213 Support activities for mining and oil and gas extraction,100,0.002686728
Carleton Place,327 Non-metallic mineral product manufacturing,45,0.002686567
Miramichi,327 Non-metallic mineral product manufacturing,35,0.002666667
Miramichi,331 Primary metal manufacturing,35,0.002666667
Nanaimo,327 Non-metallic mineral product manufacturing,135,0.002641879
Edmundston,336 Transportation equipment manufacturing,30,0.002639683
Kingston,326 Plastics and rubber products manufacturing,215,0.00263545
"Winkler, MB",327 Non-metallic mineral product manufacturing,40,0.002635046
"Weyburn, SK",212 Mining and quarrying (except oil and gas),15,0.00261324
MontrÃ©al,327 Non-metallic mineral product manufacturing,5525,0.002597256
Rimouski,336 Transportation equipment manufacturing,70,0.002596439
Vancouver,327 Non-metallic mineral product manufacturing,3450,0.002592883
Camrose,212 Mining and quarrying (except oil and gas),25,0.002579979
Camrose,324 Petroleum and coal products manufacturing,25,0.002579979
Vancouver,326 Plastics and rubber products manufacturing,3415,0.002566579
Kelowna,327 Non-metallic mineral product manufacturing,260,0.002541669
Kamloops,331 Primary metal manufacturing,135,0.002520773
"Medicine Hat, AB",327 Non-metallic mineral product manufacturing,100,0.002519526
Moncton,336 Transportation equipment manufacturing,195,0.002503049
Halifax,326 Plastics and rubber products manufacturing,555,0.002501578
Saskatoon,325 Chemical manufacturing,410,0.002500991
Chilliwack,331 Primary metal manufacturing,120,0.002499219
Kenora,213 Support activities for mining and oil and gas extraction,20,0.002498438
Yorkton,211 Oil and gas extraction,25,0.002492522
Yorkton,324 Petroleum and coal products manufacturing,25,0.002492522
Bathurst,211 Oil and gas extraction,35,0.002489331
North Bay,336 Transportation equipment manufacturing,85,0.002485017
"Cowansville, QC",331 Primary metal manufacturing,15,0.002475248
"Estevan, SK",325 Chemical manufacturing,20,0.002469136
Ottawa - Gatineau (Ontario part),336 Transportation equipment manufacturing,1315,0.00246858
Cornwall,336 Transportation equipment manufacturing,65,0.002462121
Steinbach,326 Plastics and rubber products manufacturing,20,0.002461538
Steinbach,336 Transportation equipment manufacturing,20,0.002461538
"Arnprior, ON",327 Non-metallic mineral product manufacturing,20,0.00244798
MontrÃ©al,331 Primary metal manufacturing,5185,0.002437425
"Leamington, ON",327 Non-metallic mineral product manufacturing,55,0.002433628
Kamloops,211 Oil and gas extraction,130,0.002427411
Port Hope,212 Mining and quarrying (except oil and gas),20,0.002419843
Courtenay,336 Transportation equipment manufacturing,60,0.00241838
Orillia,325 Chemical manufacturing,35,0.002414626
Salmon Arm,212 Mining and quarrying (except oil and gas),20,0.002414001
Salmon Arm,325 Chemical manufacturing,20,0.002414001
Vernon,212 Mining and quarrying (except oil and gas),70,0.002407153
"Summerside, PEI",325 Chemical manufacturing,20,0.002398082
Salaberry-de-Valleyfield,212 Mining and quarrying (except oil and gas),45,0.002389804
Halifax,213 Support activities for mining and oil and gas extraction,530,0.002388894
"Wetaskiwin, AB",336 Transportation equipment manufacturing,15,0.002373418
Terrace,212 Mining and quarrying (except oil and gas),20,0.002358491
"Woodstock, ON",212 Mining and quarrying (except oil and gas),50,0.002357934
"Wasaga Beach, ON",326 Plastics and rubber products manufacturing,20,0.002357101
Cape Breton,324 Petroleum and coal products manufacturing,100,0.002354049
Thetford Mines,324 Petroleum and coal products manufacturing,30,0.002347418
Kamloops,326 Plastics and rubber products manufacturing,125,0.002334049
Grand Falls-Windsor,324 Petroleum and coal products manufacturing,15,0.002331002
Grand Falls-Windsor,336 Transportation equipment manufacturing,15,0.002331002
"Brooks, AB",324 Petroleum and coal products manufacturing,30,0.00232378
"Lloydminster, SK",336 Transportation equipment manufacturing,20,0.002316155
Toronto,327 Non-metallic mineral product manufacturing,7275,0.002313828
Canmore,212 Mining and quarrying (except oil and gas),20,0.002313476
Moncton,213 Support activities for mining and oil and gas extraction,180,0.002310506
St. John's,324 Petroleum and coal products manufacturing,255,0.002297608
Corner Brook,327 Non-metallic mineral product manufacturing,35,0.002296588
"Dawson Creek, BC",325 Chemical manufacturing,15,0.002279635
"Timmins, ON",327 Non-metallic mineral product manufacturing,50,0.002276867
Abbotsford - Mission,331 Primary metal manufacturing,210,0.002272358
"Norfolk, ON",324 Petroleum and coal products manufacturing,70,0.002268308
Kawartha Lakes,213 Support activities for mining and oil and gas extraction,80,0.002256063
Moncton,326 Plastics and rubber products manufacturing,175,0.002246326
Granby,331 Primary metal manufacturing,95,0.002238718
"Cold Lake, AB",336 Transportation equipment manufacturing,20,0.002234637
"Lacombe, AB",324 Petroleum and coal products manufacturing,15,0.00222387
"Lacombe, AB",336 Transportation equipment manufacturing,15,0.00222387
Courtenay,327 Non-metallic mineral product manufacturing,55,0.002216848
Duncan,211 Oil and gas extraction,45,0.002216749
Prince Rupert,212 Mining and quarrying (except oil and gas),15,0.002215657
Prince Rupert,336 Transportation equipment manufacturing,15,0.002215657
St. John's,331 Primary metal manufacturing,245,0.002207506
"Baie-Comeau, QC",327 Non-metallic mineral product manufacturing,30,0.002206694
Saint John,212 Mining and quarrying (except oil and gas),140,0.002203336
Penticton,211 Oil and gas extraction,45,0.002198339
"Windsor, ON",327 Non-metallic mineral product manufacturing,345,0.002198082
Quesnel,327 Non-metallic mineral product manufacturing,25,0.002196837
High River,327 Non-metallic mineral product manufacturing,15,0.002192982
New Glasgow,331 Primary metal manufacturing,35,0.002191609
Petawawa,336 Transportation equipment manufacturing,20,0.002178649
"Ingersoll, ON",212 Mining and quarrying (except oil and gas),15,0.002175489
Campbell River,326 Plastics and rubber products manufacturing,40,0.002173322
Regina,327 Non-metallic mineral product manufacturing,285,0.002161137
"Guelph, ON",331 Primary metal manufacturing,185,0.002148165
Winnipeg,327 Non-metallic mineral product manufacturing,890,0.002137368
Ottawa - Gatineau,336 Transportation equipment manufacturing,1515,0.002134329
Bathurst,324 Petroleum and coal products manufacturing,30,0.002133713
Bathurst,326 Plastics and rubber products manufacturing,30,0.002133713
Bathurst,327 Non-metallic mineral product manufacturing,30,0.002133713
Squamish,325 Chemical manufacturing,25,0.00212585
Salaberry-de-Valleyfield,324 Petroleum and coal products manufacturing,40,0.00212427
Prince George,327 Non-metallic mineral product manufacturing,100,0.002108148
"Red Deer, AB",327 Non-metallic mineral product manufacturing,120,0.002107852
Saint-Georges,331 Primary metal manufacturing,35,0.002107164
Prince Albert,211 Oil and gas extraction,45,0.002106249
Saskatoon,326 Plastics and rubber products manufacturing,345,0.002104493
Saskatoon,327 Non-metallic mineral product manufacturing,345,0.002104493
Halifax,211 Oil and gas extraction,465,0.002095916
Carleton Place,331 Primary metal manufacturing,35,0.002089552
Chilliwack,212 Mining and quarrying (except oil and gas),100,0.002082682
"Calgary, AB",326 Plastics and rubber products manufacturing,1665,0.002080899
Victoriaville,212 Mining and quarrying (except oil and gas),50,0.002079434
"Saguenay, QC",213 Support activities for mining and oil and gas extraction,160,0.002066649
Vernon,336 Transportation equipment manufacturing,60,0.002063274
RiviÃ¨re-du-Loup,326 Plastics and rubber products manufacturing,30,0.002054091
Kamloops,325 Chemical manufacturing,110,0.002053963
Nelson,212 Mining and quarrying (except oil and gas),20,0.002053388
Nelson,325 Chemical manufacturing,20,0.002053388
Bay Roberts,325 Chemical manufacturing,10,0.002051282
"Sault Ste. Marie, ON",327 Non-metallic mineral product manufacturing,75,0.002050301
North Battleford,327 Non-metallic mineral product manufacturing,20,0.002025316
Fredericton,213 Support activities for mining and oil and gas extraction,110,0.002024291
Saskatoon,211 Oil and gas extraction,330,0.002012993
Sainte-Marie,325 Chemical manufacturing,15,0.002005348
Truro,331 Primary metal manufacturing,45,0.001996008
Yorkton,327 Non-metallic mineral product manufacturing,20,0.001994018
Chilliwack,325 Chemical manufacturing,95,0.001978548
"Sudbury, ON",336 Transportation equipment manufacturing,165,0.001977943
Regina,211 Oil and gas extraction,260,0.001971564
Penticton,327 Non-metallic mineral product manufacturing,40,0.001954079
"Kentville, NS",212 Mining and quarrying (except oil and gas),25,0.001952362
"Kentville, NS",336 Transportation equipment manufacturing,25,0.001952362
Abbotsford - Mission,213 Support activities for mining and oil and gas extraction,180,0.001947736
"Swift Current, SK",324 Petroleum and coal products manufacturing,20,0.001937984
"Swift Current, SK",327 Non-metallic mineral product manufacturing,20,0.001937984
"Brooks, AB",327 Non-metallic mineral product manufacturing,25,0.001936483
Parksville,327 Non-metallic mineral product manufacturing,20,0.001918465
Parksville,336 Transportation equipment manufacturing,20,0.001918465
"Sudbury, ON",326 Plastics and rubber products manufacturing,160,0.001918005
"Okotoks, AB",326 Plastics and rubber products manufacturing,30,0.001916321
"Okotoks, AB",331 Primary metal manufacturing,30,0.001916321
Edmonton,212 Mining and quarrying (except oil and gas),1425,0.001911841
"Brockville, ON",326 Plastics and rubber products manufacturing,35,0.001909438
Miramichi,325 Chemical manufacturing,25,0.001904762
Brandon,327 Non-metallic mineral product manufacturing,60,0.001900538
Collingwood,325 Chemical manufacturing,20,0.001899335
Prince George,325 Chemical manufacturing,90,0.001897333
Cornwall,331 Primary metal manufacturing,50,0.001893939
Abbotsford - Mission,212 Mining and quarrying (except oil and gas),175,0.001893632
Charlottetown,327 Non-metallic mineral product manufacturing,70,0.001880709
Kenora,211 Oil and gas extraction,15,0.001873829
Kenora,324 Petroleum and coal products manufacturing,15,0.001873829
Victoriaville,327 Non-metallic mineral product manufacturing,45,0.001871491
Kamloops,327 Non-metallic mineral product manufacturing,100,0.001867239
"Estevan, SK",336 Transportation equipment manufacturing,15,0.001851852
"Rouyn-Noranda, QC",327 Non-metallic mineral product manufacturing,40,0.001847575
"Red Deer, AB",331 Primary metal manufacturing,105,0.00184437
"Chatham-Kent, ON",211 Oil and gas extraction,90,0.001843696
Lethbridge,326 Plastics and rubber products manufacturing,115,0.001841473
Pembroke,325 Chemical manufacturing,20,0.001838235
Pembroke,336 Transportation equipment manufacturing,20,0.001838235
"Arnprior, ON",212 Mining and quarrying (except oil and gas),15,0.001835985
"Arnprior, ON",213 Support activities for mining and oil and gas extraction,15,0.001835985
QuÃ©bec,331 Primary metal manufacturing,790,0.001832245
Port Alberni,212 Mining and quarrying (except oil and gas),20,0.001818182
Port Alberni,327 Non-metallic mineral product manufacturing,20,0.001818182
"Midland, ON",331 Primary metal manufacturing,30,0.001817631
Matane,324 Petroleum and coal products manufacturing,15,0.001814882
Courtenay,212 Mining and quarrying (except oil and gas),45,0.001813785
Lachute,212 Mining and quarrying (except oil and gas),10,0.001803427
St. John's,327 Non-metallic mineral product manufacturing,200,0.001802045
"Sault Ste. Marie, ON",213 Support activities for mining and oil and gas extraction,65,0.001776927
Truro,325 Chemical manufacturing,40,0.001774229
"Wasaga Beach, ON",213 Support activities for mining and oil and gas extraction,15,0.001767826
"Wasaga Beach, ON",331 Primary metal manufacturing,15,0.001767826
"Red Deer, AB",336 Transportation equipment manufacturing,100,0.001756543
Whitehorse,326 Plastics and rubber products manufacturing,30,0.001753361
"Sylvan Lake, AB",326 Plastics and rubber products manufacturing,15,0.001750292
Brandon,336 Transportation equipment manufacturing,55,0.00174216
Moncton,212 Mining and quarrying (except oil and gas),135,0.00173288
Moncton,325 Chemical manufacturing,135,0.00173288
Edmonton,336 Transportation equipment manufacturing,1290,0.001730719
Duncan,212 Mining and quarrying (except oil and gas),35,0.001724138
Ottawa - Gatineau (Quebec part),327 Non-metallic mineral product manufacturing,305,0.001721899
RiviÃ¨re-du-Loup,331 Primary metal manufacturing,25,0.001711743
"Barrie, ON",331 Primary metal manufacturing,185,0.001708849
Cornwall,327 Non-metallic mineral product manufacturing,45,0.001704545
"Cold Lake, AB",331 Primary metal manufacturing,15,0.001675978
Campbellton (New Brunswick part),211 Oil and gas extraction,10,0.001672241
Campbellton (New Brunswick part),325 Chemical manufacturing,10,0.001672241
Campbellton (New Brunswick part),336 Transportation equipment manufacturing,10,0.001672241
Moose Jaw,211 Oil and gas extraction,30,0.001670379
Rimouski,325 Chemical manufacturing,45,0.001669139
Drummondville,212 Mining and quarrying (except oil and gas),80,0.001664932
Toronto,331 Primary metal manufacturing,5225,0.001661822
"Centre Wellington, ON",212 Mining and quarrying (except oil and gas),25,0.001657825
"Windsor, ON",212 Mining and quarrying (except oil and gas),260,0.001656526
"Cowansville, QC",324 Petroleum and coal products manufacturing,10,0.001650165
Cape Breton,326 Plastics and rubber products manufacturing,70,0.001647834
"Sault Ste. Marie, ON",325 Chemical manufacturing,60,0.001640241
"Brockville, ON",212 Mining and quarrying (except oil and gas),30,0.001636661
"Alma, QC",326 Plastics and rubber products manufacturing,25,0.001633453
Campbell River,324 Petroleum and coal products manufacturing,30,0.001629992
Campbell River,327 Non-metallic mineral product manufacturing,30,0.001629992
"Saguenay, QC",336 Transportation equipment manufacturing,125,0.00161457
Victoria,213 Support activities for mining and oil and gas extraction,315,0.001612119
Portage la Prairie,327 Non-metallic mineral product manufacturing,10,0.001610306
Portage la Prairie,336 Transportation equipment manufacturing,10,0.001610306
Peterborough,327 Non-metallic mineral product manufacturing,95,0.001603376
Joliette,331 Primary metal manufacturing,35,0.001600366
"Okotoks, AB",212 Mining and quarrying (except oil and gas),25,0.001596934
"Okotoks, AB",336 Transportation equipment manufacturing,25,0.001596934
"Calgary, AB",336 Transportation equipment manufacturing,1275,0.001593481
Vancouver,331 Primary metal manufacturing,2110,0.001585793
"Wetaskiwin, AB",325 Chemical manufacturing,10,0.001582278
"Wetaskiwin, AB",326 Plastics and rubber products manufacturing,10,0.001582278
"Wetaskiwin, AB",331 Primary metal manufacturing,10,0.001582278
"Williams Lake, BC",325 Chemical manufacturing,15,0.001572327
"Williams Lake, BC",331 Primary metal manufacturing,15,0.001572327
"Wood Buffalo, AB",327 Non-metallic mineral product manufacturing,70,0.00156582
New Glasgow,212 Mining and quarrying (except oil and gas),25,0.001565435
Chilliwack,211 Oil and gas extraction,75,0.001562012
"Kentville, NS",213 Support activities for mining and oil and gas extraction,20,0.00156189
Grand Falls-Windsor,326 Plastics and rubber products manufacturing,10,0.001554002
Trois-RiviÃ¨res,212 Mining and quarrying (except oil and gas),115,0.0015529
"Leamington, ON",212 Mining and quarrying (except oil and gas),35,0.001548673
Camrose,326 Plastics and rubber products manufacturing,15,0.001547988
Camrose,327 Non-metallic mineral product manufacturing,15,0.001547988
Moncton,324 Petroleum and coal products manufacturing,120,0.001540338
Nelson,211 Oil and gas extraction,15,0.001540041
Saint-Hyacinthe,212 Mining and quarrying (except oil and gas),45,0.001534527
Saint-Hyacinthe,324 Petroleum and coal products manufacturing,45,0.001534527
Vancouver,213 Support activities for mining and oil and gas extraction,2035,0.001529425
Gander,324 Petroleum and coal products manufacturing,10,0.001525553
Gander,327 Non-metallic mineral product manufacturing,10,0.001525553
"Dawson Creek, BC",212 Mining and quarrying (except oil and gas),10,0.001519757
"Dawson Creek, BC",326 Plastics and rubber products manufacturing,10,0.001519757
Peterborough,331 Primary metal manufacturing,90,0.001518987
North Battleford,336 Transportation equipment manufacturing,15,0.001518987
"Medicine Hat, AB",212 Mining and quarrying (except oil and gas),60,0.001511716
Saint-Georges,212 Mining and quarrying (except oil and gas),25,0.001505117
Belleville,331 Primary metal manufacturing,75,0.001494322
"Fort St. John, BC",327 Non-metallic mineral product manufacturing,25,0.001494322
Carleton Place,212 Mining and quarrying (except oil and gas),25,0.001492537
Rimouski,327 Non-metallic mineral product manufacturing,40,0.00148368
Duncan,326 Plastics and rubber products manufacturing,30,0.001477833
Prince Rupert,327 Non-metallic mineral product manufacturing,10,0.001477105
Prince George,331 Primary metal manufacturing,70,0.001475704
Nanaimo,336 Transportation equipment manufacturing,75,0.00146771
Penticton,325 Chemical manufacturing,30,0.001465559
"Grande Prairie, AB",327 Non-metallic mineral product manufacturing,55,0.001464519
High River,324 Petroleum and coal products manufacturing,10,0.001461988
High River,331 Primary metal manufacturing,10,0.001461988
High River,336 Transportation equipment manufacturing,10,0.001461988
"Wood Buffalo, AB",325 Chemical manufacturing,65,0.001453976
"Swift Current, SK",212 Mining and quarrying (except oil and gas),15,0.001453488
"Swift Current, SK",325 Chemical manufacturing,15,0.001453488
"Ingersoll, ON",211 Oil and gas extraction,10,0.001450326
Campbellton,211 Oil and gas extraction,10,0.001438849
Campbellton,212 Mining and quarrying (except oil and gas),10,0.001438849
Campbellton,213 Support activities for mining and oil and gas extraction,10,0.001438849
Campbellton,324 Petroleum and coal products manufacturing,10,0.001438849
Campbellton,326 Plastics and rubber products manufacturing,10,0.001438849
Campbellton,327 Non-metallic mineral product manufacturing,10,0.001438849
Campbellton,336 Transportation equipment manufacturing,10,0.001438849
Parksville,324 Petroleum and coal products manufacturing,15,0.001438849
Dolbeau-Mistassini,324 Petroleum and coal products manufacturing,10,0.001436782
Dolbeau-Mistassini,326 Plastics and rubber products manufacturing,10,0.001436782
Dolbeau-Mistassini,327 Non-metallic mineral product manufacturing,10,0.001436782
Dolbeau-Mistassini,336 Transportation equipment manufacturing,10,0.001436782
"Val-d'Or, QC",331 Primary metal manufacturing,25,0.001427348
"Val-d'Or, QC",336 Transportation equipment manufacturing,25,0.001427348
Cape Breton,327 Non-metallic mineral product manufacturing,60,0.001412429
"Calgary, AB",331 Primary metal manufacturing,1130,0.001412262
"Sept-Îles, QC",326 Plastics and rubber products manufacturing,20,0.001404494
"Medicine Hat, AB",336 Transportation equipment manufacturing,55,0.001385739
"Rouyn-Noranda, QC",326 Plastics and rubber products manufacturing,30,0.001385681
"Tillsonburg, ON",211 Oil and gas extraction,10,0.001385042
"Tillsonburg, ON",213 Support activities for mining and oil and gas extraction,10,0.001385042
Fredericton,211 Oil and gas extraction,75,0.001380199
Pembroke,327 Non-metallic mineral product manufacturing,15,0.001378676
Pembroke,331 Primary metal manufacturing,15,0.001378676
Joliette,324 Petroleum and coal products manufacturing,30,0.001371742
Prince George,336 Transportation equipment manufacturing,65,0.001370296
Nanaimo,212 Mining and quarrying (except oil and gas),70,0.001369863
Nanaimo,325 Chemical manufacturing,70,0.001369863
RiviÃ¨re-du-Loup,336 Transportation equipment manufacturing,20,0.001369394
"Timmins, ON",331 Primary metal manufacturing,30,0.00136612
"Brockville, ON",324 Petroleum and coal products manufacturing,25,0.001363884
Strathmore,212 Mining and quarrying (except oil and gas),10,0.00135318
Powell River,325 Chemical manufacturing,10,0.001352265
Powell River,331 Primary metal manufacturing,10,0.001352265
Halifax,325 Chemical manufacturing,300,0.001352204
Halifax,327 Non-metallic mineral product manufacturing,300,0.001352204
Saint John,325 Chemical manufacturing,85,0.00133774
Sainte-Marie,212 Mining and quarrying (except oil and gas),10,0.001336898
Sainte-Marie,324 Petroleum and coal products manufacturing,10,0.001336898
Sainte-Marie,331 Primary metal manufacturing,10,0.001336898
"Thompson, MB",325 Chemical manufacturing,10,0.001334223
"Thompson, MB",327 Non-metallic mineral product manufacturing,10,0.001334223
"Thompson, MB",336 Transportation equipment manufacturing,10,0.001334223
Edmundston,331 Primary metal manufacturing,15,0.001319842
"Sudbury, ON",325 Chemical manufacturing,110,0.001318629
North Bay,325 Chemical manufacturing,45,0.001315597
North Bay,331 Primary metal manufacturing,45,0.001315597
