place,sector,employment,proportion
Hamilton,336 Transportation equipment manufacturing,9370,0.024226911
Granby,326 Plastics and rubber products manufacturing,1020,0.024036762
"Timmins, ON",213 Support activities for mining and oil and gas extraction,520,0.023679417
"Brooks, AB",211 Oil and gas extraction,305,0.023625097
Moose Jaw,212 Mining and quarrying (except oil and gas),415,0.023106904
Rivi̬re-du-Loup,327 Non-metallic mineral product manufacturing,330,0.022595002
Thetford Mines,331 Primary metal manufacturing,280,0.021909233
Terrace,331 Primary metal manufacturing,185,0.021816038
St. Catharines - Niagara,336 Transportation equipment manufacturing,4340,0.021753296
"Norfolk, ON",331 Primary metal manufacturing,660,0.021386909
"Medicine Hat, AB",211 Oil and gas extraction,825,0.020786092
Lachute,325 Chemical manufacturing,115,0.020739405
"Calgary, AB",213 Support activities for mining and oil and gas extraction,16235,0.020290326
Cobourg,336 Transportation equipment manufacturing,170,0.020274299
"Lacombe, AB",211 Oil and gas extraction,135,0.020014826
Lachute,336 Transportation equipment manufacturing,110,0.019837692
"Cowansville, QC",325 Chemical manufacturing,120,0.01980198
Belleville,336 Transportation equipment manufacturing,990,0.019725045
"Rouyn-Noranda, QC",331 Primary metal manufacturing,425,0.019630485
Salaberry-de-Valleyfield,325 Chemical manufacturing,360,0.019118428
Edmonton,213 Support activities for mining and oil and gas extraction,14085,0.018897036
Bathurst,331 Primary metal manufacturing,265,0.018847795
Prince Albert,212 Mining and quarrying (except oil and gas),400,0.018722209
"Lacombe, AB",325 Chemical manufacturing,125,0.018532246
Collingwood,336 Transportation equipment manufacturing,195,0.018518519
Thunder Bay,336 Transportation equipment manufacturing,1115,0.018388719
Matane,327 Non-metallic mineral product manufacturing,150,0.01814882
Rivi̬re-du-Loup,212 Mining and quarrying (except oil and gas),260,0.017802123
"Windsor, ON",326 Plastics and rubber products manufacturing,2765,0.017616514
St. John's,213 Support activities for mining and oil and gas extraction,1915,0.017254584
Hawkesbury (Quebec part),326 Plastics and rubber products manufacturing,15,0.017241379
Hawkesbury (Quebec part),331 Primary metal manufacturing,15,0.017241379
"Woodstock, ON",326 Plastics and rubber products manufacturing,365,0.017212921
Hamilton,331 Primary metal manufacturing,6615,0.01710363
Salaberry-de-Valleyfield,331 Primary metal manufacturing,320,0.016994158
"Sudbury, ON",213 Support activities for mining and oil and gas extraction,1390,0.016662671
Collingwood,327 Non-metallic mineral product manufacturing,175,0.016619183
Trois-Rivi̬res,331 Primary metal manufacturing,1230,0.016609277
Truro,326 Plastics and rubber products manufacturing,370,0.016411621
Bay Roberts,213 Support activities for mining and oil and gas extraction,80,0.016410256
"Sarnia, ON",324 Petroleum and coal products manufacturing,735,0.016116654
"Arnprior, ON",325 Chemical manufacturing,130,0.015911873
Montr̩al,336 Transportation equipment manufacturing,33580,0.015785676
"Red Deer, AB",211 Oil and gas extraction,895,0.015721061
North Bay,213 Support activities for mining and oil and gas extraction,535,0.015640988
Sherbrooke,336 Transportation equipment manufacturing,1640,0.015598992
"Wood Buffalo, AB",324 Petroleum and coal products manufacturing,685,0.015322671
Shawinigan,331 Primary metal manufacturing,355,0.015311624
Port Hope,331 Primary metal manufacturing,125,0.015124017
Winnipeg,336 Transportation equipment manufacturing,6295,0.015117675
Kawartha Lakes,336 Transportation equipment manufacturing,530,0.014946418
Quesnel,212 Mining and quarrying (except oil and gas),170,0.014938489
Cobourg,326 Plastics and rubber products manufacturing,125,0.014907573
"Cowansville, QC",336 Transportation equipment manufacturing,90,0.014851485
Toronto,336 Transportation equipment manufacturing,44625,0.01419307
"Red Deer, AB",325 Chemical manufacturing,800,0.014052345
"Thompson, MB",213 Support activities for mining and oil and gas extraction,105,0.01400934
Salaberry-de-Valleyfield,326 Plastics and rubber products manufacturing,260,0.013807754
Brandon,325 Chemical manufacturing,430,0.013620526
Drummondville,326 Plastics and rubber products manufacturing,640,0.013319459
Campbell River,212 Mining and quarrying (except oil and gas),245,0.0133116
Grand Falls-Windsor,213 Support activities for mining and oil and gas extraction,85,0.013209013
"Hawkesbury, ON",327 Non-metallic mineral product manufacturing,55,0.013189448
Cobourg,325 Chemical manufacturing,110,0.013118664
"Swift Current, SK",211 Oil and gas extraction,135,0.013081395
Gander,336 Transportation equipment manufacturing,85,0.012967201
"Arnprior, ON",331 Primary metal manufacturing,105,0.012851897
"Winkler, MB",326 Plastics and rubber products manufacturing,195,0.01284585
"Leamington, ON",326 Plastics and rubber products manufacturing,290,0.012831858
Port Hope,325 Chemical manufacturing,105,0.012704174
St. John's,211 Oil and gas extraction,1390,0.012524215
Thetford Mines,327 Non-metallic mineral product manufacturing,160,0.012519562
"Sarnia, ON",326 Plastics and rubber products manufacturing,570,0.01249863
Bathurst,212 Mining and quarrying (except oil and gas),175,0.012446657
High River,213 Support activities for mining and oil and gas extraction,85,0.012426901
Belleville,326 Plastics and rubber products manufacturing,620,0.012353058
Bay Roberts,211 Oil and gas extraction,60,0.012307692
Steinbach,327 Non-metallic mineral product manufacturing,100,0.012307692
Salaberry-de-Valleyfield,336 Transportation equipment manufacturing,230,0.012214551
Orillia,336 Transportation equipment manufacturing,175,0.012073129
Yorkton,212 Mining and quarrying (except oil and gas),120,0.011964108
Belleville,325 Chemical manufacturing,595,0.011854951
"Midland, ON",326 Plastics and rubber products manufacturing,195,0.011814602
Brantford,325 Chemical manufacturing,810,0.01175361
"Ingersoll, ON",326 Plastics and rubber products manufacturing,80,0.011602611
Hawkesbury (Quebec part),213 Support activities for mining and oil and gas extraction,10,0.011494253
Bathurst,213 Support activities for mining and oil and gas extraction,160,0.011379801
"Kitchener - Cambridge - Waterloo, ON",326 Plastics and rubber products manufacturing,3150,0.011051274
Edmundston,326 Plastics and rubber products manufacturing,125,0.01099868
Cape Breton,213 Support activities for mining and oil and gas extraction,465,0.010946328
"Ingersoll, ON",331 Primary metal manufacturing,75,0.010877447
Camrose,211 Oil and gas extraction,105,0.010835913
"Lloydminster, AB",324 Petroleum and coal products manufacturing,120,0.010796221
"Midland, ON",327 Non-metallic mineral product manufacturing,175,0.010602848
"Chatham-Kent, ON",326 Plastics and rubber products manufacturing,515,0.010550036
Edmonton,211 Oil and gas extraction,7765,0.010417855
Canmore,327 Non-metallic mineral product manufacturing,90,0.010410642
Peterborough,336 Transportation equipment manufacturing,615,0.010379747
Camrose,331 Primary metal manufacturing,100,0.010319917
Brantford,326 Plastics and rubber products manufacturing,710,0.010302547
Peterborough,326 Plastics and rubber products manufacturing,595,0.010042194
Saint John,324 Petroleum and coal products manufacturing,620,0.009757633
North Battleford,213 Support activities for mining and oil and gas extraction,95,0.009620253
"Hawkesbury, ON",326 Plastics and rubber products manufacturing,40,0.009592326
Miramichi,213 Support activities for mining and oil and gas extraction,125,0.00952381
Owen Sound,212 Mining and quarrying (except oil and gas),145,0.009474028
Sainte-Marie,336 Transportation equipment manufacturing,70,0.009358289
"Medicine Hat, AB",325 Chemical manufacturing,370,0.009322247
"Sudbury, ON",331 Primary metal manufacturing,775,0.009290338
"Centre Wellington, ON",326 Plastics and rubber products manufacturing,140,0.00928382
Charlottetown,325 Chemical manufacturing,345,0.00926921
Canmore,211 Oil and gas extraction,80,0.009253904
Halifax,336 Transportation equipment manufacturing,2050,0.009240061
Edmundston,327 Non-metallic mineral product manufacturing,105,0.009238891
Corner Brook,213 Support activities for mining and oil and gas extraction,140,0.009186352
Chilliwack,336 Transportation equipment manufacturing,440,0.009163803
"Yellowknife, NWT",213 Support activities for mining and oil and gas extraction,115,0.009159697
Gander,213 Support activities for mining and oil and gas extraction,60,0.009153318
Whitehorse,212 Mining and quarrying (except oil and gas),155,0.00905903
"Woodstock, ON",331 Primary metal manufacturing,190,0.008960151
"Saguenay, QC",212 Mining and quarrying (except oil and gas),690,0.008912426
"Alma, QC",327 Non-metallic mineral product manufacturing,135,0.008820647
Strathmore,325 Chemical manufacturing,65,0.00879567
