"Unemployment Rate by Education, Gender",2016,2020,2016,2020
,Male,Male,Female,Female
University degree,5%,6%,5%,7%
Postsecondary certificate or diploma,6%,7%,5%,8%
"High school graduate, some post-secondary",8%,11%,8%,9%
High school graduate,8%,10%,7%,11%
"No degree, certificate or diploma",12%,12%,12%,14%
